Name,ID,Stamina,Atk,Def,Type 1,Type 2,Weight(kg),Height (m),Description
Bulbasaur,1,90,118,118,GRASS,POISON,6.9,0.7,Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun?s rays the seed grows progressively larger.
Ivysaur,2,120,151,151,GRASS,POISON,13,1,There is a bud on this Pokemons back. To support its weight Ivysaurs legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight it?s a sign that the bud will bloom into a large flower soon.
Venasaur,3,160,198,198,GRASS,POISON,100,2,There is a large flower on Venusaur?s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower?s aroma soothes the emotions of people.
Charmander,4,78,116,96,FIRE,NONE,8.5,0.6,The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged the flame burns fiercely.
Charmeleon,5,116,158,129,FIRE,NONE,19,1.1,Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe it turns aggressive. In this excited state the flame at the tip of its tail flares with a bluish white color.
Charizard,6,156,223,176,FIRE,FLYING,90.5,1.7,Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However it never turns its fiery breath on any opponent weaker than itself.
Squirtle,7,88,94,122,WATER,NONE,9,0.5,Squirtle?s shell is not merely used for protection. The shell?s rounded shape and the grooves on its surface help minimize resistance in water enabling this Pokemon to swim at high speeds.
Wartortle,8,118,126,155,WATER,NONE,22.5,1,Its tail is large and covered with a rich thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokemon?s toughness as a battler.
Blastoise,9,158,171,210,WATER,NONE,85.5,1.6,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Caterpie,10,90,55,62,BUG,NONE,2,0.3,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.
Metapod,11,100,45,94,BUG,NONE,9.9,0.7,This is its pre-evolved form. At this stage it can only harden so it remains motionless to avoid attack.
Butterfree,12,120,167,151,BUG,FLYING,32,1.1,It flits from flower to flower collecting honey. It can even identify distant flowers in bloom.
Weedle,13,80,63,55,BUG,POISON,3.2,0.3,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
Kakuna,14,90,46,86,BUG,POISON,10,0.6,Kakuna remains virtually immobile as it clings to a tree. However on the inside it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.
Beedrill,15,130,169,150,BUG,POISON,29.5,1,Beedrill is extremely territorial. No one should ever approach its nest?this is for their own safety. If angered they will attack in a furious swarm.
Pidgey,16,80,85,76,FLYING,NORMAL,1.8,0.3,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings.
Pidgeotto,17,126,117,108,FLYING,NORMAL,30,1.1,Pidgeotto claims a large area as its own territory. This Pokemon flies around patrolling its living space. If its territory is violated it shows no mercy in thoroughly punishing the foe with its sharp claws.
Pidgeot,18,166,166,157,FLYING,NORMAL,39.5,1.5,This Pokemon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head compelling them to choose Pidgeot as their Pokemon.
Rattata,19,60,103,70,NORMAL,NONE,3.5,0.3,This Pokemon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
Raticate,20,110,161,144,NORMAL,NONE,18.5,0.7,The webs on its hind legs enable it to cross rivers. It searches wide areas for food.
Spearow,21,80,112,61,FLYING,NORMAL,2,0.3,To protect its territory it flies around ceaselessly making high-pitched cries.
Fearow,22,130,182,135,FLYING,NORMAL,38,1.2,It uses its long beak to attack. It has a surprisingly long reach so it must be treated with caution.
Ekans,23,70,110,102,POISON,NONE,6.9,2,It flutters the tip of its tongue to seek out the scent of prey then swallows the prey whole.
Arbok,24,120,167,158,POISON,NONE,65,3.5,To intimidate foes it spreads its chest wide and makes eerie sounds by expelling air from its mouth.
Pikachu,25,70,112,101,ELECTRIC,NONE,6,0.4,When it is angered it immediately discharges the energy stored in the pouches in its cheeks.
Raichu,26,120,193,165,ELECTRIC,NONE,30,0.8,If its electric pouches run empty it raises its tail to gather electricity from the atmosphere.
Sandshrew,27,100,126,145,GROUND,NONE,12,0.6,It prefers dry sandy places because it uses the sand to protect itself when threatened.
Sandslash,28,150,182,202,GROUND,NONE,29.5,1,Adept at climbing trees it rolls into a spiny ball then attacks its enemies from above.
Nidoran,29,110,86,94,POISON,NONE,7,0.4,Small and very docile it protects itself with its small poisonous horn when attacked.
Nidorina,30,140,117,126,POISON,NONE,20,0.8,When Nidorina are with their friends or family they keep their barbs tucked away to prevent hurting each other. This Pokemon appears to become nervous if separated from the others.
Nidoqueen,31,180,180,174,GROUND,POISON,60,1.3,Nidoqueen?s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokemon is at its strongest when it is defending its young.
Nidoran,32,92,105,76,POISON,NONE,9,0.5,Nidoran? has developed muscles for moving its ears. Thanks to them the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokemon?s notice.
Nidorino,33,122,137,112,POISON,NONE,19.5,0.9,Nidorino has a horn that is harder than a diamond. If it senses a hostile presence all the barbs on its back bristle up at once and it challenges the foe with all its might.
